county_name,County Name Cleaned,state_ID,countyFIPS,State,county_correct_spelling
Roberts County,Roberts,RobertsTX,48393,TX,
Robertson County,Robertson,RobertsonTX,48395,TX,
Rockwall County,Rockwall,RockwallTX,48397,TX,
Runnels County,Runnels,RunnelsTX,48399,TX,
Rusk County,Rusk,RuskTX,48401,TX,
Sabine County,Sabine,SabineTX,48403,TX,
San Augustine County,San Augustine,San AugustineTX,48405,TX,
San Jacinto County,San Jacinto,San JacintoTX,48407,TX,
San Patricio County,San Patricio,San PatricioTX,48409,TX,
San Saba County,San Saba,San SabaTX,48411,TX,
Schleicher County,Schleicher,SchleicherTX,48413,TX,
Scurry County,Scurry,ScurryTX,48415,TX,
Shackelford County,Shackelford,ShackelfordTX,48417,TX,
Shelby County,Shelby,ShelbyTX,48419,TX,
Sherman County,Sherman,ShermanTX,48421,TX,
Smith County,Smith,SmithTX,48423,TX,
Somervell County,Somervell,SomervellTX,48425,TX,
Starr County,Starr,StarrTX,48427,TX,
Stephens County,Stephens,StephensTX,48429,TX,
Sterling County,Sterling,SterlingTX,48431,TX,
Stonewall County,Stonewall,StonewallTX,48433,TX,
Sutton County,Sutton,SuttonTX,48435,TX,
Swisher County,Swisher,SwisherTX,48437,TX,
Tarrant County,Tarrant,TarrantTX,48439,TX,
Taylor County,Taylor,TaylorTX,48441,TX,
Terrell County,Terrell,TerrellTX,48443,TX,
Terry County,Terry,TerryTX,48445,TX,
Throckmorton County,Throckmorton,ThrockmortonTX,48447,TX,
Titus County,Titus,TitusTX,48449,TX,
